"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 18:57:04 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","39","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_2","test_2",""
"passed","Wed Aug 07 18:57:05 GMT 2024","Wed Aug 07 18:57:05 GMT 2024","145","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","dynamicResponseTest","dynamicResponseTest",""
"passed","Wed Aug 07 18:57:02 GMT 2024","Wed Aug 07 18:57:02 GMT 2024","366","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_patch","test_patch",""
"passed","Wed Aug 07 18:57:03 GMT 2024","Wed Aug 07 18:57:03 GMT 2024","437","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator","test_schemaValidator",""
"passed","Wed Aug 07 18:57:04 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","42","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","getMethod","getMethod",""
"passed","Wed Aug 07 18:57:04 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","85","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_3","test_3",""
"passed","Wed Aug 07 18:57:04 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","336","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_Post","test_Post",""
"passed","Wed Aug 07 18:56:58 GMT 2024","Wed Aug 07 18:57:01 GMT 2024","3217","Suite","Test","crudOperaion.GetCallWithAssertion","crudOperaion.GetCallWithAssertion","test_get","test_get",""
"passed","Wed Aug 07 18:57:05 GMT 2024","Wed Aug 07 18:57:05 GMT 2024","10","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","mockTest","mockTest",""
"passed","Wed Aug 07 18:57:02 GMT 2024","Wed Aug 07 18:57:03 GMT 2024","340","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_put","test_put",""
"passed","Wed Aug 07 18:57:02 GMT 2024","Wed Aug 07 18:57:02 GMT 2024","348","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_delete","test_delete",""
"passed","Wed Aug 07 18:57:05 GMT 2024","Wed Aug 07 18:57:05 GMT 2024","1","Suite","Test","crudOperaion.CsvReader","crudOperaion.CsvReader","readCsv","readCsv",""
"passed","Wed Aug 07 18:57:02 GMT 2024","Wed Aug 07 18:57:02 GMT 2024","183","Suite","Test","crudOperaion.ReqSpec_ResSpec","crudOperaion.ReqSpec_ResSpec","test_3","test_3",""
"passed","Wed Aug 07 18:57:03 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","380","Suite","Test","crudOperaion.JsonClass","crudOperaion.JsonClass","test_put","test_put",""
"passed","Wed Aug 07 18:57:03 GMT 2024","Wed Aug 07 18:57:03 GMT 2024","55","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator2","test_schemaValidator2",""
"passed","Wed Aug 07 18:57:02 GMT 2024","Wed Aug 07 18:57:02 GMT 2024","0","Suite","Test","crudOperaion.PropertiesFileReader","crudOperaion.PropertiesFileReader","ReadpropertiesFile","ReadpropertiesFile",""
"passed","Wed Aug 07 18:57:04 GMT 2024","Wed Aug 07 18:57:04 GMT 2024","345","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_header","test_header",""
