"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","263","Suite","Test","crudOperaion.JsonClass","crudOperaion.JsonClass","test_put","test_put",""
"passed","Fri Aug 02 17:14:21 GMT 2024","Fri Aug 02 17:14:21 GMT 2024","24","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","mockTest","mockTest",""
"passed","Fri Aug 02 17:14:21 GMT 2024","Fri Aug 02 17:14:21 GMT 2024","0","Suite","Test","crudOperaion.CsvReader","crudOperaion.CsvReader","readCsv","readCsv",""
"passed","Fri Aug 02 17:14:18 GMT 2024","Fri Aug 02 17:14:18 GMT 2024","0","Suite","Test","crudOperaion.PropertiesFileReader","crudOperaion.PropertiesFileReader","ReadpropertiesFile","ReadpropertiesFile",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","99","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_3","test_3",""
"passed","Fri Aug 02 17:14:19 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","506","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator","test_schemaValidator",""
"passed","Fri Aug 02 17:14:18 GMT 2024","Fri Aug 02 17:14:18 GMT 2024","134","Suite","Test","crudOperaion.ReqSpec_ResSpec","crudOperaion.ReqSpec_ResSpec","test_3","test_3",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","58","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","getMethod","getMethod",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","63","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_2","test_2",""
"passed","Fri Aug 02 17:14:19 GMT 2024","Fri Aug 02 17:14:19 GMT 2024","257","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_patch","test_patch",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","82","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator2","test_schemaValidator2",""
"passed","Fri Aug 02 17:14:19 GMT 2024","Fri Aug 02 17:14:19 GMT 2024","257","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_put","test_put",""
"passed","Fri Aug 02 17:14:15 GMT 2024","Fri Aug 02 17:14:18 GMT 2024","2857","Suite","Test","crudOperaion.GetCallWithAssertion","crudOperaion.GetCallWithAssertion","test_get","test_get",""
"passed","Fri Aug 02 17:14:18 GMT 2024","Fri Aug 02 17:14:19 GMT 2024","253","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_delete","test_delete",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:21 GMT 2024","260","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_header","test_header",""
"passed","Fri Aug 02 17:14:20 GMT 2024","Fri Aug 02 17:14:20 GMT 2024","248","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_Post","test_Post",""
