"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","266","Suite","Test","crudOperaion.JsonClass","crudOperaion.JsonClass","test_put","test_put",""
"passed","Wed Jul 31 06:34:05 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","533","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator","test_schemaValidator",""
"passed","Wed Jul 31 06:34:04 GMT 2024","Wed Jul 31 06:34:04 GMT 2024","137","Suite","Test","crudOperaion.ReqSpec_ResSpec","crudOperaion.ReqSpec_ResSpec","test_3","test_3",""
"passed","Wed Jul 31 06:34:07 GMT 2024","Wed Jul 31 06:34:07 GMT 2024","25","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","mockTest","mockTest",""
"passed","Wed Jul 31 06:34:02 GMT 2024","Wed Jul 31 06:34:04 GMT 2024","2307","Suite","Test","crudOperaion.GetCallWithAssertion","crudOperaion.GetCallWithAssertion","test_get","test_get",""
"passed","Wed Jul 31 06:34:07 GMT 2024","Wed Jul 31 06:34:07 GMT 2024","0","Suite","Test","crudOperaion.CsvReader","crudOperaion.CsvReader","readCsv","readCsv",""
"passed","Wed Jul 31 06:34:04 GMT 2024","Wed Jul 31 06:34:05 GMT 2024","256","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_delete","test_delete",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:07 GMT 2024","245","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_header","test_header",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","57","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator2","test_schemaValidator2",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","44","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_2","test_2",""
"passed","Wed Jul 31 06:34:05 GMT 2024","Wed Jul 31 06:34:05 GMT 2024","232","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_put","test_put",""
"passed","Wed Jul 31 06:34:04 GMT 2024","Wed Jul 31 06:34:04 GMT 2024","1","Suite","Test","crudOperaion.PropertiesFileReader","crudOperaion.PropertiesFileReader","ReadpropertiesFile","ReadpropertiesFile",""
"passed","Wed Jul 31 06:34:05 GMT 2024","Wed Jul 31 06:34:05 GMT 2024","256","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_patch","test_patch",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","44","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","getMethod","getMethod",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","81","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_3","test_3",""
"passed","Wed Jul 31 06:34:06 GMT 2024","Wed Jul 31 06:34:06 GMT 2024","236","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_Post","test_Post",""
