"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 18:58:45 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","277","Suite","Test","crudOperaion.JsonClass","crudOperaion.JsonClass","test_put","test_put",""
"passed","Wed Aug 07 18:58:44 GMT 2024","Wed Aug 07 18:58:45 GMT 2024","254","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_patch","test_patch",""
"passed","Wed Aug 07 18:58:45 GMT 2024","Wed Aug 07 18:58:45 GMT 2024","235","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_put","test_put",""
"passed","Wed Aug 07 18:58:45 GMT 2024","Wed Aug 07 18:58:45 GMT 2024","513","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator","test_schemaValidator",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","222","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_Post","test_Post",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","84","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_3","test_3",""
"passed","Wed Aug 07 18:58:44 GMT 2024","Wed Aug 07 18:58:44 GMT 2024","124","Suite","Test","crudOperaion.ReqSpec_ResSpec","crudOperaion.ReqSpec_ResSpec","test_3","test_3",""
"passed","Wed Aug 07 18:58:47 GMT 2024","Wed Aug 07 18:58:47 GMT 2024","10","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","mockTest","mockTest",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","1","Suite","Test","crudOperaion.CsvReader","crudOperaion.CsvReader","readCsv","readCsv",""
"passed","Wed Aug 07 18:58:47 GMT 2024","Wed Aug 07 18:58:47 GMT 2024","151","Suite","Test","crudOperaion.WiremockTest","crudOperaion.WiremockTest","dynamicResponseTest","dynamicResponseTest",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","63","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_2","test_2",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","41","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","getMethod","getMethod",""
"passed","Wed Aug 07 18:58:46 GMT 2024","Wed Aug 07 18:58:46 GMT 2024","231","Suite","Test","crudOperaion.GetMethod","crudOperaion.GetMethod","test_header","test_header",""
"passed","Wed Aug 07 18:58:45 GMT 2024","Wed Aug 07 18:58:45 GMT 2024","57","Suite","Test","crudOperaion.JsonSchemaValidator","crudOperaion.JsonSchemaValidator","test_schemaValidator2","test_schemaValidator2",""
"passed","Wed Aug 07 18:58:44 GMT 2024","Wed Aug 07 18:58:44 GMT 2024","1","Suite","Test","crudOperaion.PropertiesFileReader","crudOperaion.PropertiesFileReader","ReadpropertiesFile","ReadpropertiesFile",""
"passed","Wed Aug 07 18:58:41 GMT 2024","Wed Aug 07 18:58:44 GMT 2024","2807","Suite","Test","crudOperaion.GetCallWithAssertion","crudOperaion.GetCallWithAssertion","test_get","test_get",""
"passed","Wed Aug 07 18:58:44 GMT 2024","Wed Aug 07 18:58:44 GMT 2024","250","Suite","Test","crudOperaion.PutPatchDelete","crudOperaion.PutPatchDelete","test_delete","test_delete",""
